Artículo,Descripción,P.V.P.,Ubicación
460449,SUPLEMENTO EMBOLO D-45,"1,2375",3-27
460451,TENSOR EMBOLO D-55-50-45-40,"13,195",3-7-2
460453,TUERCA TENSOR EMBOLO M-12 D-55-50-45 (LATON)*,"6,305",3-7-3
460455,CAMISA PORCELANA LARGA D-55,"11,706",8-30
460458,CUERPO BOMBA ML D-60,"137,85",8-22
460458.1,CUERPO BOMBA ML D-60 CERAMICA,"137,85",8-22
460459,JUNTA CAMISA D-55 NYLON,"0,33",3-41
460460,JUNTA CAMISA D-50-45 NYLON,"0,3",3-42
460461,"TAPON 1/2"" LATON MACHO","1,286",4-43-1
460462,"ARANDELA ALUMINIO 1/2"" 21-26-2","0,7",3-62-2
460468,CARCASA VALVULA C/PLACA NYLON,"0,63",3-14-5
460469,ASIENTO VALVULA PLACA,7,3-14-2
460469.1,VALVULA COMPLETA C/BOLA ML,"9,415",3-29
460469.2,VALVULA COMPLETA C/PLACA ML,"9,415",3-13
460469.3,ASIENTO VALVULA  BOLA,7,3-30-1
460470,MUELLE INOXIDABLE VALVULA C/PLACA,"0,84",3-14-4
460471,BOLA INOX. D-20 AISI-420,"1,625",3-30-3
460471.1,PLACA VALVULA 1.5 MM AISI-304,"2,75",3-14-3
460472,MUELLE INOXIDABLE VALVULA C/BOLA,"0,273",3-30-2
460473,CARCASA VALVULA C/BOLA NYLON,"0,672",3-30-4
460476,TUERCA M-14 LATÓN,"2,624",3-4-4
460477,TAPA CULATIN,"26,86",3-64-1
460481,"MACHON ENLACE 1/2""","7,5905",4-89-2
460516,TUERCA LATON L-15,"5,7545",4-89-3
460519,TAPA REDUCTORA,"87,99",8-80
460522,SOPORTE EMBOLO D-60,"8,715",3-32-2
460523,EMBOLO DE CUERO D-60,"14,6878",3-8
460524,ARANDELA AJUSTE PS 35x45x1  DIN-988,"0,6",9-49-2
460528,PIÑON REDUCTORA 1/4 Z=28,"62,9",3-54-4
460529,EJE PASANTE REDUCTOR,"215,9",8-43
460531,TAPA LATERAL EJE PASANTE,"75,075",8-79
460533,CIGUEÑAL B.G. DOBLE CONO,"340,4129",8-113 *
460534,TAPA PORTARODAMIENTO,"41,305",3-55-2
460537,CORONA REDUCTORA 1/4  Z=39,"95,95",3-55-1
460538,ARANDELA CIGUEÑAL,"1,9",3-54-3
460542,SUPLEMENTO EMBOLO D-60 REBAJADO,"1,6225",3-24
460543,CAMISA PORCELANA LARGA D-60,"13,152",8-29
460543.1,CAMISA CERAMICA LARGA D-60,45,3-67
460547,MANOMETRO D-63 100 BAR ML 1/4 RADIAL,"9,025",1-43
460550,VALVULA COMPLETA C/PLACA D-24.5,"13,812",3-45
460551,CARCASA NYLON VALVULA D-24.5,"0,95",3-46-5
460552,MUELLE INOXIDABLE VALVULA D-24.5,"1,35",3-46-4
460553,PLACA VALVULA D-24.5,"1,85",3-46-3
460555,JUNTA NYLON VALVULA D-24.5,"0,845",3-46-1
460557,ASIENTO VALVULA D-24.5 INOX,"9,5",3-46-2
460573,JUNTA CAMISA D-60 B.P. NYLON,"0,466",3-12
460653,TAPA REGISTRO B.P.,"43,36",10-8
460654,JUNTA PAPEL TAPA REGISTRO B.P.,"2,4",3-2-1
460655,CARTER B.P. D-50-45-40,"349,265",10-6
460658,TAPA LATERAL B.P.,"32,375",3-1-2
460659,CAMISA PORCELANA CORTA D-55,"14,388",9-161
460661,PISTON CORTO M-12,"44,59",3-35-1
460661.2,EJE PISTON C. M-12 B.P. (INYECTAR),0,
460664,CAMISA PORCELANA CORTA D-50,"15,056",9-162
460665,CAMISA PORCELANA CORTA D-45,"14,815",9-163
460671,ESPARRAGO M-14 L-98.5,"2,639",3-5-2
460676,CUERPO FILTRO B.P.,"77,59",10-8
